Car_Truck	EngDisp	RatedHP	Transmission	Drive	Weight	Comp	AxleRatio	EVSpeedRatio	AC	PRP	FuelType	City_Highway	Valves_Cyl	FuelEcon
truck	4.1623	350	L6	4	2.7216e+03	12.5000	4.3200	35.9000	N	1	61	city	8	15.6810
car	2.4745	150	L6	F	1.5309e+03	9.5000	3.5000	32.7000	N	31	61	highway	5	6.0622
car	2.4417	168	L5	F	1.7577e+03	10.3000	2.4400	34.6000	N	31	23	highway	5	6.2724
truck	2.2942	133	AV	4	1.8144e+03	12.3000	3.7300	31.2000	Y	31	61	city	4	6.5702
truck	3.3102	208	AV	4	2.1546e+03	10.8000	3.5400	23.7000	N	31	61	highway	6	6.7397
truck	2.9988	215	L5	R	2.1546e+03	17.7000	3.7300	36.7000	Y	32	19	city	6	10.4540
truck	3.9985	207	L5	4	1.9278e+03	9.7000	4.1000	35.6000	Y	32	61	highway	6	9.9667
car	1.9828	200	L6	F	1.6443e+03	10.3000	3.1400	40.7000	N	1	61	highway	4	5.7792
truck	5.4077	300	L4	4	2.7216e+03	9.8000	3.5500	26.9000	Y	32	61	city	8	15.3735
car	3.9985	202	L5	R	1.7577e+03	9.7000	3.3100	30.2000	Y	32	61	city	6	11.7022
truck	3.8837	240	L4	F	2.1546e+03	9.8000	3.2900	28.9000	N	32	61	city	6	11.8198
car	2.4745	150	M5	F	1.4742e+03	9.5000	3.6500	42.5000	N	31	61	highway	5	5.9099
truck	3.6543	245	L4	R	2.2680e+03	10.1000	3.7300	31.4000	N	32	61	city	5	13.6753
truck	5.5552	305	L5	R	2.4948e+03	9.8000	3.3600	30	N	31	61	city	8	15.3735
truck	5.3258	310	L4	4	2.7216e+03	9.9000	3.7300	28.5000	N	31	38	city	8	18.5208
truck	4.7031	235	L5	4	2.2680e+03	9	3.5500	28.3000	Y	31	38	highway	8	13.6753
car	4.6048	220	L4	R	2.0412e+03	9.4000	2.7300	28.8000	Y	31	61	city	8	12.3797
truck	5.3258	295	L4	4	2.3814e+03	9.5000	3.4200	26	N	32	61	highway	8	9.5616
car	3.1299	255	L6	4	1.9278e+03	12.5000	3.5400	33.9000	N	31	61	highway	6	6.7981
truck	5.3258	310	L4	R	2.4948e+03	9.9000	3.4200	27.2000	N	32	61	highway	8	8.6476
car	2.5236	218	L5	4	1.7577e+03	9	2.2700	32.2000	N	31	23	highway	5	6.4797
car	2.4908	175	AV	F	1.5876e+03	9.6000	5.8000	30.3000	N	31	61	highway	4	5.3948
truck	4.3917	300	L6	4	2.7216e+03	10.8000	3.7300	32.7000	Y	31	61	city	8	15.3735
truck	3.3102	215	L5	4	2.0412e+03	10.8000	3.4800	32.3000	N	32	61	highway	6	7.6868
truck	3.9001	194	L4	F	2.0412e+03	9.4000	3.5400	31.5000	Y	31	61	highway	6	7.6368
car	1.9828	138	L4	F	1.4175e+03	10.1000	3.8500	40	N	31	61	city	4	7.9464
truck	5.4077	300	L6	R	2.7216e+03	9.6000	3.3100	25.9000	Y	31	61	highway	8	9.2241
truck	2.9825	200	L4	F	1.7010e+03	10	3.7700	31.6000	Y	31	61	city	6	10.6916
car	1.9828	132	L4	F	1.4742e+03	10.1000	3.8500	40	N	31	61	highway	4	5.3096
truck	5.3258	310	L4	R	2.7216e+03	9.9000	3.7300	28.5000	N	31	61	city	8	13.2143
truck	4.5884	292	L6	4	2.4948e+03	9.8000	3.5500	29.2000	Y	1	61	highway	8	9.8416
truck	3.5724	255	M5	4	2.2680e+03	10.3000	3.2300	28.9000	N	32	61	city	6	13.4408
truck	2.9169	190	L4	4	1.9278e+03	10	3.7300	31.4000	N	32	61	highway	4	8.0830
car	2.2942	160	L5	F	1.6443e+03	9.7000	3.8600	35.9000	Y	1	61	city	4	9.0816
car	2.6875	245	M5	R	1.4742e+03	11.1000	3.7500	41.5000	N	1	61	highway	6	5.8221
